college,location,branch,fees,avg_cutoff



Poornima University,Jaipur,CSE,110000,70
Poornima University,Jaipur,AI,115000,68
JECRC Foundation,Jaipur,AI,120000,72
SKIT Jaipur,Jaipur,IT,95000,78
LNMIIT,Jaipur,CSE,350000,90
LNMIIT,Jaipur,ECE,330000,88

AKTU,Lucknow,CSE,90000,72
AKTU,Lucknow,AI,95000,70
HBTU,Kanpur,ECE,110000,86
GLA University,Mathura,CSE,180000,75
GLA University,Mathura,AI,190000,73

Amrita University,Bangalore,CSE,260000,88
Amrita University,Bangalore,AI,270000,85
Dayananda Sagar,Bangalore,CSE,200000,80
Dayananda Sagar,Bangalore,AI,210000,78
New Horizon College,Bangalore,CSE,180000,75

Reva University,Bangalore,CSE,190000,78
Reva University,Bangalore,AI,200000,76
CMR Institute,Bangalore,CSE,170000,74
CMR Institute,Bangalore,AI,180000,72

SR University,Warangal,CSE,150000,75
SR University,Warangal,AI,160000,72
Kakatiya University,Warangal,CSE,80000,70

Lovely Professional University,Jalandhar,IT,155000,63
Lovely Professional University,Jalandhar,ECE,150000,62

Chandigarh University,Mohali,ECE,140000,68
Chandigarh University,Mohali,IT,135000,67

Bennett University,Noida,ECE,290000,78
Bennett University,Noida,IT,280000,76

Galgotias College,Greater Noida,CSE,140000,68
Galgotias College,Greater Noida,ECE,130000,65

KIET Group,Ghaziabad,ECE,120000,74
KIET Group,Ghaziabad,IT,115000,73
ABES Engineering,Ghaziabad,CSE,130000,76
ABES Engineering,Ghaziabad,AI,140000,74

Thapar University,Patiala,ECE,240000,83
Thapar University,Patiala,IT,230000,81

Chitkara University,Patiala,ECE,190000,77
Chitkara University,Patiala,IT,185000,76

UPES,Dehradun,ECE,270000,75
UPES,Dehradun,IT,260000,74
DIT University,Dehradun,CSE,150000,70
DIT University,Dehradun,AI,160000,68

Graphic Era,Dehradun,AI,210000,78
Graphic Era,Dehradun,ECE,200000,76

Nirma University,Ahmedabad,AI,210000,83
Nirma University,Ahmedabad,ECE,190000,82

Pandit Deendayal Energy University,Gandhinagar,ECE,230000,85
Pandit Deendayal Energy University,Gandhinagar,AI,240000,87

LD College,Ahmedabad,CSE,60000,80
LD College,Ahmedabad,ECE,55000,78

SVNIT,Surat,CSE,150000,92
SVNIT,Surat,ECE,140000,89

Veermata Jijabai Technological Institute,Mumbai,CSE,90000,95
VJTI,Mumbai,ECE,85000,92

Sardar Patel Institute,Mumbai,CSE,150000,90
Sardar Patel Institute,Mumbai,ECE,140000,88

Fr Agnel,Mumbai,CSE,160000,87
Fr Agnel,Mumbai,ECE,150000,85

Walchand College,Sangli,CSE,80000,85
Walchand College,Sangli,ECE,75000,83

PCCOE,Pune,CSE,140000,80
PCCOE,Pune,AI,150000,78
Sinhgad College,Pune,CSE,120000,75
Sinhgad College,Pune,ECE,110000,73

DY Patil College,Pune,CSE,130000,76
DY Patil College,Pune,AI,140000,74

Amity University,Mumbai,CSE,250000,78
Amity University,Mumbai,AI,260000,76

NMIMS,Mumbai,ECE,290000,80
NMIMS,Mumbai,IT,280000,79

IIT Jammu,Jammu,CSE,250000,97
IIT Jammu,Jammu,ECE,240000,95
